physical time,Temperature Supply,Target T ,Outdoor T ,Monitoring Points T1,Monitoring Points T2,Monitoring Points T3,Monitoring Points T4
2021/11/15 0:00,37.35,37,5,21.49,21.73,22.55,22.56
2021/11/15 0:10,36.91,37.6,4,21.49,21.66,22.55,22.56
2021/11/15 0:20,37.94,37.6,4,21.3,21.66,22.59,22.56
2021/11/15 0:30,37.65,37.6,4,21.3,21.66,22.59,22.53
2021/11/15 0:40,37.21,37.6,4,21.3,21.63,22.59,22.53
2021/11/15 0:50,37.5,37.6,4,21.33,21.63,22.59,22.53
2021/11/15 1:00,38.51,37.6,4,21.33,21.63,22.59,22.49
2021/11/15 1:10,36.91,37,5,21.33,21.72,22.59,22.49
2021/11/15 1:20,37.21,37,5,21.24,21.72,22.62,22.49
2021/11/15 1:30,37.06,37,5,21.24,21.72,22.62,22.49
2021/11/15 1:40,36.96,37.6,4,21.24,21.65,22.62,22.49
2021/11/15 1:50,37.94,37.6,4,21.24,21.65,22.62,22.49
2021/11/15 2:00,37.79,37.6,4,21.24,21.65,22.62,22.48
2021/11/15 2:10,37.79,38.2,3,21.24,21.65,22.62,22.48
2021/11/15 2:20,38.09,38.2,3,21.31,21.65,22.69,22.48
2021/11/15 2:30,38.09,38.2,3,21.31,21.65,22.69,22.49
2021/11/15 2:40,38.24,38.2,3,21.31,21.66,22.69,22.49
2021/11/15 2:50,38.38,38.2,3,21.41,21.66,22.65,22.49
2021/11/15 3:00,38.38,38.2,3,21.41,21.66,22.65,22.49
2021/11/15 3:10,38.38,38.2,3,21.41,21.63,22.65,22.49
2021/11/15 3:20,38.38,38.2,3,21.44,21.63,22.67,22.49
2021/11/15 3:30,38.38,38.2,3,21.44,21.63,22.67,22.48
2021/11/15 3:40,38.24,38.2,3,21.44,21.63,22.67,22.48
2021/11/15 3:50,38.23,38.2,3,21.44,21.63,22.72,22.48
2021/11/15 4:00,38.53,39.2,3,21.44,21.63,22.72,22.46
2021/11/15 4:10,38.53,39.2,3,21.44,21.61,22.72,22.46
2021/11/15 4:20,38.53,39.2,3,21.44,21.61,22.74,22.46
