"Physical Time: Physical Time (s)","Inlet1RH Monitor: Surface Average of RH","Inlet1T Monitor: Surface Average of Temperature (C)","RH1 Monitor: Sum of RH","RH10 Monitor: Sum of RH","RH2 Monitor: Sum of RH","RH3 Monitor: Sum of RH","RH4 Monitor: Sum of RH","RH5 Monitor: Sum of RH","RH6 Monitor: Sum of RH","RH7 Monitor: Sum of RH","RH8 Monitor: Sum of RH","RH9 Monitor: Sum of RH","T1 Monitor: Sum of Temperature (C)","T10 Monitor: Sum of Temperature (C)","T2 Monitor: Sum of Temperature (C)","T3 Monitor: Sum of Temperature (C)","T4 Monitor: Sum of Temperature (C)","T5 Monitor: Sum of Temperature (C)","T6 Monitor: Sum of Temperature (C)","T7 Monitor: Sum of Temperature (C)","T8 Monitor: Sum of Temperature (C)","T9 Monitor: Sum of Temperature (C)","velocity Monitor: Surface Average of Velocity: Magnitude (m/s)","wall Monitor: Surface Average of Temperature (C)"
600,50.4754245549711,25,30.0468672997155,30.0838989533675,30.0861249774784,30.0588263147045,29.6157984318102,29.7425402820494,29.3723032748197,29.646426719008,30.0206508549118,29.6481715380908,25.0653113358748,25.0445215434769,25.043321356561,25.0585111842249,25.3079144858804,25.2362898129178,25.4468127317106,25.2905363942065,25.0806111303654,25.2895672663935,0,25.9999999999999
1200,57.5079542509446,20.9999999999999,41.2616121855829,38.5075422592137,44.1677045496737,39.8529253589885,36.3590274375328,41.2483545326954,37.9352166804166,34.2964089911242,44.7021156662978,41.5408422136641,23.1752357341139,23.3799948755485,22.7417067341338,23.2829177104107,23.1167794888125,22.8486138099233,22.5010313581048,23.3973357907504,22.6325630527113,22.6619721206461,0.2,16.1999999999999
1800,57.5079457997238,20.9999999999999,44.5385470060044,50.1284823597023,48.7821767945039,50.1165736096718,41.9783613480436,44.8494003170002,40.2165542169175,44.7625302351718,48.039514478266,51.5189083159135,22.3530256169891,21.3293347867265,21.3905069562394,21.4261502184531,22.4298402323053,21.9497168289459,22.4123457610384,21.907211795327,21.6051322735698,21.1082683138717,0.2,16.1999999999999
2400,57.5079530702984,20.9999999999999,49.8159634525083,53.4803666672012,50.5314608323886,52.5767037944681,49.1842997611749,51.2148280544246,47.8507546492892,51.0602937243925,50.0515371057652,56.4574448912197,21.399625958964,20.7932979707617,21.0770982964677,20.8440249015809,21.3064784151832,20.8285597935348,21.0434862734164,21.1601934127585,21.1069722238446,20.277506513839,0.2,16.1999999999999
3000,57.5079536684928,20.9999999999999,54.9013753330212,56.1594400858013,53.8849364793866,54.7346106768155,54.1586605589583,57.3864119714557,54.4783221335667,54.5156457524907,54.3374829147698,58.6965365253529,20.6398582624601,20.4657714191087,20.7094143361969,20.5482688387086,20.7266713083228,19.8523434052194,20.3880179554219,20.7063784276055,20.5021931097182,19.6113341783156,0.2,16.1999999999999
3600,57.5079534986575,20.9999999999999,58.5675993938001,57.8149135782164,56.6708613665772,56.958168338027,57.6026252532639,61.8282601084783,58.1449038469701,56.9955044933411,57.6887975786825,62.4990719168435,19.9520952628549,20.3366194710517,20.2810931942338,20.2529593131014,20.269836144829,19.0732610758175,19.9990283562368,20.3793265048495,19.9880610849062,18.6993596081416,0.2,16.1999999999999
4200,57.507953511739,20.9999999999999,60.9196455551969,59.3850063752058,59.0897023214417,58.9965295335928,59.6573119096921,64.3331761006907,60.4206439708733,58.7265117235954,60.5126959407332,67.0507828583434,19.5739202777903,20.0947015308088,19.9460508893213,19.9387759185881,19.9619352396986,18.7103523485195,19.7257934399315,20.1568997093311,19.5350556612011,17.8663043383734,0.2,16.1999999999999
4800,57.507954141261,20.9999999999999,61.870269154911,60.4351931196236,60.1831186648017,60.312239412808,60.613551581137,65.8802568259879,61.9714784582614,59.9316011008127,62.1004405668841,67.2333168769695,19.4918223497932,19.9470471318436,19.9100234170336,19.8335020978752,19.8533174484186,18.4962996387705,19.4840019153086,20.0072732238872,19.3450743344096,18.042987118531,0.2,16.6999999999999
5400,57.5079539985342,20.9999999999999,62.3525704489836,61.0967282906686,60.6119264477069,60.6823828750509,61.4250180456428,66.3768344050175,63.2492222228321,60.4696607368887,62.3009965893294,67.8708331317449,19.4721931548024,19.8462189694882,19.9277065511004,19.8965022683469,19.7316864568423,18.4858485503505,19.2565924995259,19.984702087212,19.4496572240704,18.05080902225,0.2,16.6999999999999
6000,57.5079540595886,20.9999999999999,62.4961067144835,61.5685380867963,61.097328267443,60.7719544592469,61.7732293897404,66.5096285614143,64.0219321433948,60.8000414737725,61.9953807579866,68.2079481175177,19.5103110844294,19.7852997483153,19.8794420073049,19.961889756835,19.715964169194,18.5221364124174,19.1315199005025,19.9688982245126,19.6260966572661,18.0849148966805,0.2,16.6999999999999
